# Mongolian Wordnet (MonWN)	mon	https://github.com/kbatsuren/monwn	CC BY 4.0
01217043-v	mon:lemma	тэсвэрлэх
01218084-v	mon:lemma	биедээ авч явах
13815152-n	mon:lemma	тоон харилцаа
13815152-n	mon:lemma	соронзон харилцаа
13815152-n	mon:def 0	Чухал байдлын харилцаа
00064504-n	mon:lemma	амжилт
00064504-n	mon:lemma	шуугиан тарьсан хит дуу
13815030-n	mon:lemma	эхнэр нөхрийн  холбоо
13815030-n	mon:def 0	эхнэр нөхрийн холбоо
13815742-n	mon:lemma	харьцаа
00065216-n	mon:lemma	эзлэн авах
00065216-n	mon:lemma	булаан авах
00065216-n	mon:lemma	сөрөн явах
00065216-n	mon:lemma	оргилд хүрэх
00065216-n	mon:lemma	даван туулах
13815342-n	mon:lemma	масштабын шугам
13815342-n	mon:def 0	харьцангуй магнитуд
06219875-n	mon:lemma	радикал үзэл баримтлал
01219282-v	mon:lemma	бэхжүүл
01219004-v	mon:lemma	тул
13816649-n	mon:lemma	төлбөрийн хэмжээ
00065855-n	mon:lemma	кредит
00065855-n	mon:lemma	багц цаг
